,datetime,open,high,low,close,volume,hold,ticker
0,2025-08-21 21:13:00,3119.0,3119.0,3117.0,3117.0,2348,1458332,RB0
1,2025-08-21 21:14:00,3117.0,3120.0,3117.0,3119.0,3253,1458811,RB0
2,2025-08-21 21:15:00,3119.0,3120.0,3118.0,3118.0,1624,1458942,RB0
3,2025-08-21 21:16:00,3118.0,3120.0,3118.0,3120.0,2961,1460084,RB0
4,2025-08-21 21:17:00,3120.0,3121.0,3115.0,3116.0,5168,1460183,RB0
5,2025-08-21 21:18:00,3116.0,3118.0,3116.0,3116.0,2104,1459646,RB0
6,2025-08-21 21:19:00,3116.0,3117.0,3116.0,3117.0,852,1459781,RB0
7,2025-08-21 21:20:00,3117.0,3119.0,3116.0,3119.0,2065,1459511,RB0
8,2025-08-21 21:21:00,3118.0,3119.0,3117.0,3117.0,1096,1459652,RB0
9,2025-08-21 21:22:00,3117.0,3118.0,3116.0,3117.0,1249,1459452,RB0
10,2025-08-21 21:23:00,3118.0,3118.0,3116.0,3117.0,568,1459570,RB0
11,2025-08-21 21:24:00,3117.0,3118.0,3116.0,3117.0,1219,1459653,RB0
12,2025-08-21 21:25:00,3117.0,3119.0,3117.0,3117.0,2152,1459947,RB0
13,2025-08-21 21:26:00,3118.0,3118.0,3117.0,3117.0,619,1459839,RB0
14,2025-08-21 21:27:00,3117.0,3119.0,3117.0,3119.0,836,1459754,RB0
15,2025-08-21 21:28:00,3119.0,3120.0,3118.0,3120.0,1759,1459769,RB0
16,2025-08-21 21:29:00,3120.0,3120.0,3119.0,3120.0,1188,1460214,RB0
17,2025-08-21 21:30:00,3119.0,3120.0,3118.0,3118.0,946,1460160,RB0
18,2025-08-21 21:31:00,3118.0,3119.0,3117.0,3117.0,1115,1460404,RB0
19,2025-08-21 21:32:00,3117.0,3118.0,3117.0,3117.0,1102,1460310,RB0
20,2025-08-21 21:33:00,3118.0,3118.0,3116.0,3116.0,1863,1460210,RB0
21,2025-08-21 21:34:00,3116.0,3118.0,3116.0,3117.0,1201,1460343,RB0
22,2025-08-21 21:35:00,3117.0,3118.0,3116.0,3118.0,1220,1460116,RB0
23,2025-08-21 21:36:00,3118.0,3119.0,3117.0,3118.0,848,1460121,RB0
24,2025-08-21 21:37:00,3118.0,3118.0,3116.0,3117.0,1486,1460092,RB0
25,2025-08-21 21:38:00,3117.0,3118.0,3116.0,3117.0,1112,1460095,RB0
26,2025-08-21 21:39:00,3116.0,3117.0,3115.0,3116.0,2753,1460071,RB0
27,2025-08-21 21:40:00,3116.0,3116.0,3114.0,3114.0,3791,1460818,RB0
28,2025-08-21 21:41:00,3115.0,3116.0,3114.0,3115.0,3011,1460159,RB0
29,2025-08-21 21:42:00,3115.0,3116.0,3114.0,3115.0,1571,1460241,RB0
30,2025-08-21 21:43:00,3114.0,3115.0,3114.0,3114.0,1680,1460166,RB0
31,2025-08-21 21:44:00,3114.0,3115.0,3113.0,3113.0,2398,1459715,RB0
32,2025-08-21 21:45:00,3114.0,3114.0,3112.0,3114.0,2848,1460234,RB0
33,2025-08-21 21:46:00,3113.0,3114.0,3113.0,3113.0,1831,1460188,RB0
34,2025-08-21 21:47:00,3113.0,3115.0,3113.0,3114.0,2634,1460350,RB0
